COD_UNID;total_registros;pct_raca;pct_escolaridade;pct_antiviral;indicador_6_media;classificacao
6986609;169;100;100,0;92,9;97,6;Meta Atingida
7023049;182;100;97,8;99,5;99,1;Meta Atingida
