COD_UNID;se_periodo;se_dentro_4a20;pct_se_4a20;indicador_2_pct;indicador_4_pct;classificacao
6986609;38;33;86,8;94,7;90,8;Meta Atingida
7023049;38;36;94,7;97,4;96,1;Meta Atingida
