COD_UNID;SE_PRISINT;categoria_viral;n_casos
7023049;272026;SG não especificado;1
7023049;282026;Influenza B;1
7023049;282026;Outro vírus respiratório;1
7023049;282026;SG não especificado;2
7023049;292026;SG não especificado;1
7023049;302026;Influenza A;1
7023049;302026;Influenza B;1
7023049;302026;Outro vírus respiratório;2
7023049;302026;SG não especificado;5
7023049;312026;Outro vírus respiratório;3
7023049;312026;SG não especificado;3
7023049;322026;Outro vírus respiratório;1
7023049;322026;SG não especificado;3
7023049;332026;SG não especificado;1
7023049;342026;Outro vírus respiratório;2
7023049;342026;SG não especificado;4
7023049;352026;Outro vírus respiratório;2
7023049;352026;SG não especificado;2
