COD_UNID;amostras_enviadas;processadas_pcr;indicador_7_pct;classificacao;alerta_desperdicio_amostra
6986609;169;169;100,0;Meta Atingida;FALSE
7023049;182;181;99,5;Meta Atingida;FALSE
